UID,title,authors
cl-9001,Information Theory-based Compositional Distributional Semantics,"Enrique Amigó, Alejandro Ariza-Casabona, Víctor Fresno, M. Antònia Martí"
cl-9002,It Takes Two Flints to Make a Fire: Multitask Learning of Neural Relation and Explanation Classifiers,"Zheng Tang, Mihai Surdeanu"
cl-9003,Enhancing Lifelong Language Learning by Improving Pseudo-Sample Generation,"Kasidis Kanwatchara, Thanapapas Horsuwan, Piyawat Lertvittayakumjorn, Boonserm Kijsirikul, Peerapon Vateekul"
cl-9004,Nucleus Composition in Transition-Based Dependency Parsing,"Joakim Nivre, Ali Basirat, Luise Dürlich, Adam Moss"
cl-9005,Effective Approaches to Neural Query Language Identification,"Xingzhang Ren, Baosong Yang, Dayiheng Liu, Haibo Zhang, Xiaoyu Lv, Liang Yao, Jun Xie"
cl-9006,Revise and Resubmit: An Intertextual Model of Text-based Collaboration in Peer Review,"Ilia Kuznetsov, Jan Buchmann, Max Eichler, Iryna Gurevych"
cl-9007,Hierarchical Interpretation of Neural Text Classification,"Hanqi Yan, Lin Gui, Yulan He"
cl-9008,Neural Embedding Allocation: Distributed Representations of Topic Models,"Kamrun Naher Keya, Yannis Papanikolaou, James R. Foulds"
cl-9009,The Text Anonymization Benchmark (TAB): A Dedicated Corpus and Evaluation Framework for Text Anonymization,"Ildikó Pilán, Pierre Lison, Lilja Øvrelid, Anthi Papadopoulou, David Sánchez, Montserrat Batet"
cl-9010,How Much Does Lookahead Matter for Disambiguation? Partial Arabic Diacritization Case Study,"Saeed Esmail, Kfir Bar, Nachum Dershowitz"
cl-9011,"Dimensional Modeling of Emotions in Text with Appraisal Theories: Corpus Creation, Annotation Reliability, and Prediction","Enrica Troiano, Laura Oberländer, Roman Klinger"
cl-9012,Transformers and the Representation of Biomedical Background Knowledge,"Oskar Wysocki, Zili Zhou, Paul O’Regan, Deborah Ferreira, Magdalena Wysocka, Dónal Landers, André Freitas"
